t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29
0.0,0.077428039601836,0.21723807469925824,0.0,0.04294129533019803,0.10490625475458792,0.0,0.14447476827477365,0.0,0.0,0.0458057458946105,0.0,0.11279875765388554,0.0,0.0,0.0,0.0,0.0,0.020114026814945788,0.025321453915753588,0.0,0.0,0.0,0.15901651938623643,0.0,0.0,0.0,0.0,0.04995506367391424,0.0
0.450984276187016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549015723812984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18948428630106395,0.0,0.0,0.0,0.15967361743672046,0.0,0.0,0.05175361979078083,0.04973090942091713,0.0,0.0,0.0,0.5493575670505176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8339510478435292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16604895215647075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06752537100963646,0.0,0.0,0.06743198209947578,0.08780859726000848,0.16744058471469495,0.0,0.0,0.08423945115624486,0.0,0.0,0.0,0.0,0.0,0.41532034835023957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07811118131995143,0.032122484089748514,0.0,0.0,0.0
0.5320006572731077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46799934272689225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.175849569064459,0.25140291883689886,0.0,0.08049672356603339,0.1171521812410582,0.11486885035675945,0.16775506796833178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924746889664594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.2960217099595579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687900782585004,0.0,0.0,0.13518821178194187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1479824164302659,0.0,0.43672071006620466,0.0,0.041078578690172035,0.0,0.0,0.0,0.10281871777599758,0.0,0.0,0.0,0.0,0.0,0.0,0.27139957703735984,0.0,0.0,0.0,0.0
0.0,0.07419676074366595,0.21182092116303516,0.0,0.0838243404215374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37351825068547556,0.0,0.0,0.08725766327036907,0.0,0.07634812564863643,0.0,0.09303393806728054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09278207731807414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2704361386636787,0.0,0.0,0.0,0.0,0.16862475572884886,0.08482619365077573,0.0,0.0,0.22342455088838095,0.0,0.0,0.0,0.0,0.0,0.15990628375024166,0.0,0.0
0.0,0.36237445985140737,0.09720591761735499,0.0,0.0,0.0,0.0,0.4289635150485007,0.0,0.0,0.11145610748273689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3322491094137011,0.04998868115727145,0.0,0.3207397249589504,0.0,0.0,0.0,0.06254640033732951,0.0,0.0,0.0,0.054950589274453336,0.0,0.0,0.0,0.0,0.027032515647816596,0.0,0.0,0.0,0.15249297921047747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4958085298348418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041914701651582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5160420038856451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48395799611435475,0.0,0.0,0.0,0.0
0.4422173866549888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10532923385441384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076293452457397,0.0,0.0,0.0,0.0,0.0,0.14482403424485774,0.0,0.0,0.0
0.0,0.1556484021281497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5070656785916238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3372859192802266,0.0,0.0
0.4163213654671804,0.0,0.0,0.06553142199511353,0.0,0.0,0.0,0.0,0.0,0.0,0.17613466466958522,0.0,0.03228239996353573,0.0,0.0,0.0,0.23549705328555037,0.0,0.0,0.0,0.0742330946190347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
